name,bad,da,good,da2
woman,16,NOUN,4.0,NOUN
beans,16,NOUN,11.0,NOUN
father,15,NOUN,3.0,NOUN
beef,15,NOUN,10.0,NOUN
options,15,NOUN,38.0,NOUN
step,15,NOUN,7.0,NOUN
brother,15,NOUN,14.0,NOUN
share,15,NOUN,25.0,NOUN
mother,15,NOUN,4.0,NOUN
caught,15,NOUN,0.0,0
special,15,NOUN,100.0,NOUN
girls,15,NOUN,15.0,NOUN
moment,15,NOUN,29.0,NOUN
lemonade,15,NOUN,21.0,NOUN
tips,15,NOUN,3.0,NOUN
gift,15,NOUN,19.0,NOUN
strawberry,15,NOUN,23.0,NOUN
fucking,15,NOUN,0.0,0
#,15,NOUN,9.0,NOUN
onion,15,NOUN,32.0,NOUN
salt,15,NOUN,7.0,NOUN
movie,14,NOUN,23.0,NOUN
matter,14,NOUN,19.0,NOUN
franchise,14,NOUN,7.0,NOUN
disappointment,14,NOUN,6.0,NOUN
school,14,NOUN,9.0,NOUN
break,14,NOUN,11.0,NOUN
trip,14,NOUN,19.0,NOUN
mix,14,NOUN,16.0,NOUN
street,14,NOUN,12.0,NOUN
portion,14,NOUN,20.0,NOUN
weeks,14,NOUN,17.0,NOUN
manger,14,NOUN,4.0,NOUN
drinking,14,NOUN,10.0,NOUN
Who,14,NOUN,7.0,NOUN
behavior,14,NOUN,3.0,NOUN
bland,14,NOUN,0.0,0
mayo,14,NOUN,4.0,NOUN
online,14,NOUN,9.0,NOUN
training,14,NOUN,17.0,NOUN
complaint,14,NOUN,8.0,NOUN
shows,14,NOUN,5.0,NOUN
bunch,14,NOUN,13.0,NOUN
cheeseburger,14,NOUN,13.0,NOUN
chair,14,NOUN,3.0,NOUN
fire,14,NOUN,2.0,NOUN
bites,14,NOUN,5.0,NOUN
choice,14,NOUN,29.0,NOUN
afternoon,14,NOUN,28.0,NOUN
bus,14,NOUN,0.0,0
Went,13,NOUN,0.0,0
toilet,13,NOUN,0.0,0
flavor,13,NOUN,31.0,NOUN
FOOD,13,NOUN,1.0,NOUN
straw,13,NOUN,1.0,NOUN
knife,13,NOUN,1.0,NOUN
sides,13,NOUN,19.0,NOUN
bag,13,NOUN,3.0,NOUN
yesterday,13,NOUN,20.0,NOUN
tgi,13,NOUN,17.0,NOUN
strips,13,NOUN,21.0,NOUN
sort,13,NOUN,9.0,NOUN
shaker,13,NOUN,5.0,NOUN
months,13,NOUN,18.0,NOUN
case,13,NOUN,11.0,NOUN
bathrooms,13,NOUN,5.0,NOUN
excuses,13,NOUN,2.0,NOUN
salmon,13,NOUN,40.0,NOUN
blame,13,NOUN,1.0,NOUN
alright,13,NOUN,9.0,NOUN
option,13,NOUN,17.0,NOUN
favorite,13,NOUN,170.0,NOUN
garbage,13,NOUN,1.0,NOUN
round,13,NOUN,7.0,NOUN
fuck,13,NOUN,0.0,0
wonder,13,NOUN,2.0,NOUN
pizza,13,NOUN,6.0,NOUN
shame,13,NOUN,0.0,0
desert,13,NOUN,13.0,NOUN
tasting,12,NOUN,15.0,NOUN
security,12,NOUN,14.0,NOUN
email,12,NOUN,11.0,NOUN
tomato,12,NOUN,23.0,NOUN
house,12,NOUN,27.0,NOUN
ID,12,NOUN,1.0,NOUN
fiancé,12,NOUN,12.0,NOUN
Everything,12,NOUN,43.0,NOUN
window,12,NOUN,2.0,NOUN
feeling,12,NOUN,16.0,NOUN
Ugh,12,NOUN,0.0,0
ME,12,NOUN,0.0,0
NOTHING,12,NOUN,0.0,0
size,12,NOUN,23.0,NOUN
butter,12,NOUN,19.0,NOUN
disaster,12,NOUN,1.0,NOUN
women,12,NOUN,3.0,NOUN
double,12,NOUN,0.0,0
Drinks,12,NOUN,25.0,NOUN
control,12,NOUN,5.0,NOUN
floors,12,NOUN,1.0,NOUN
checks,12,NOUN,8.0,NOUN
WTF,12,NOUN,0.0,0
mouth,12,NOUN,16.0,NOUN
adults,12,NOUN,6.0,NOUN
Nothing,12,NOUN,9.0,NOUN
2nd,11,NOUN,6.0,NOUN
parties,11,NOUN,2.0,NOUN
WRONG,11,NOUN,0.0,0
juice,11,NOUN,5.0,NOUN
pass,11,NOUN,5.0,NOUN
ketchup,11,NOUN,0.0,0
napkin,11,NOUN,4.0,NOUN
cooks,11,NOUN,2.0,NOUN
men,11,NOUN,2.0,NOUN
act,11,NOUN,4.0,NOUN
alcohol,11,NOUN,22.0,NOUN
Yelp,11,NOUN,12.0,NOUN
law,11,NOUN,4.0,NOUN
waitstaff,11,NOUN,4.0,NOUN
policy,11,NOUN,0.0,0
note,11,NOUN,8.0,NOUN
none,11,NOUN,9.0,NOUN
cream,11,NOUN,32.0,NOUN
post,11,NOUN,6.0,NOUN
flatbread,11,NOUN,14.0,NOUN
plenty,11,NOUN,25.0,NOUN
club,11,NOUN,17.0,NOUN
spit,11,NOUN,0.0,0
rush,11,NOUN,9.0,NOUN
beginning,11,NOUN,9.0,NOUN
cake,11,NOUN,35.0,NOUN
section,11,NOUN,22.0,NOUN
world,11,NOUN,17.0,NOUN
drop,11,NOUN,4.0,NOUN
town,11,NOUN,33.0,NOUN
communication,11,NOUN,0.0,0
members,11,NOUN,9.0,NOUN
clueless,11,NOUN,0.0,0
cuz,11,NOUN,0.0,0
patty,11,NOUN,10.0,NOUN
bottle,11,NOUN,7.0,NOUN
roll,11,NOUN,5.0,NOUN
refund,11,NOUN,0.0,0
ticket,11,NOUN,3.0,NOUN
breast,11,NOUN,4.0,NOUN
hotel,11,NOUN,6.0,NOUN
groups,11,NOUN,9.0,NOUN
counter,11,NOUN,2.0,NOUN
crumbs,10,NOUN,1.0,NOUN
sons,10,NOUN,5.0,NOUN
cards,10,NOUN,4.0,NOUN
surprise,10,NOUN,11.0,NOUN
track,10,NOUN,1.0,NOUN
lots,10,NOUN,16.0,NOUN
staffed,10,NOUN,0.0,0
yelp,10,NOUN,3.0,NOUN
