Rating,Number Of Ratings,Address
4.5/5,407 ratings,"10460 Park Meadows Dr, Lone Tree, CO 80124, USA"
Classic Ribeye,$17.99,Hand-Trimmed Steaks,"Marbled, thick-cut steak topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Just For Two,$22.00,Just For Two,1 appetizer and choice of 2 entrées.
Choose Any 2,$14.99,Smokehouse Combos, 
Choose Any 3,$16.99,Smokehouse Combos, 
Mexican Rice,$1.99,Our Good Sides, 
Fries,$1.99,Our Good Sides, 
Steamed Broccoli,$1.99,Our Good Sides, 
Sweet Corn On The Cob,$1.99,Our Good Sides, 
Loaded Mashed Potatoes,$1.99,Our Good Sides, 
Black Beans,$1.99,Our Good Sides, 
Roasted Street Corn,$2.99,Our Good Sides, 
Asparagus & Garlic Roasted Tomatoes,$2.99,Our Good Sides, 
Spiced Panko Onion Rings,$2.99,Our Good Sides, 
Molten Chocolate Cake,$7.29,"Hey, Sweet Stuff","Chocolate cake with a molten chocolate center, topped with vanilla ice cream in a chocolate shell. Big enough to share, too good to actually do it."
Salted Caramel Molten Cake,$7.29,"Hey, Sweet Stuff","Salted caramel cake filled with a melted caramel center. Topped with vanilla ice cream, caramel sauce & salted caramel pieces."
Skillet Chocolate Chip Cookie,$6.49,"Hey, Sweet Stuff","Topped with vanilla ice cream, hot fudge."
Cheesecake,$6.49,"Hey, Sweet Stuff",Served over strawberry puree.
