,ticker,date,MV_pred,MV,close
705,RRGB,2015-06-11,1631631.18,1237827.36,158.3262569526778
704,RRGB,2015-06-12,1693202.48,1237968.6,161.75133677455588
703,RRGB,2015-06-15,1711946.66,1229352.9600000002,162.95722097953768
702,RRGB,2015-06-16,1704757.31,1235285.0399999998,161.92347079306492
701,RRGB,2015-06-17,1704481.85,1237544.8800000001,162.14564696789432
700,RRGB,2015-06-18,1627667.08,1235426.28,157.67733311319398
699,RRGB,2015-06-19,1715472.74,1240087.2,159.99479680196123
698,RRGB,2015-06-22,1713183.04,1238533.56,157.25912890526303
697,RRGB,2015-06-23,1720144.12,1235991.24,157.54682955494158
696,RRGB,2015-06-24,1705702.6,1214664.0,157.83030811697228
695,RRGB,2015-06-25,1721437.13,1213392.8399999999,160.15147324908372
694,RRGB,2015-06-26,1724004.04,1210709.28,161.04807718327098
693,RRGB,2015-06-29,1724064.03,1208308.2,165.72177467314435
692,RRGB,2015-06-30,1725856.73,1204494.72,169.47894257900168
691,RRGB,2015-07-01,1722032.97,1219889.8800000001,169.73413015084805
690,RRGB,2015-07-02,1706833.2,1215935.1600000001,168.29744531709082
689,RRGB,2015-07-06,1712412.12,1185992.28,173.00161110163248
688,RRGB,2015-07-07,1611167.36,1220031.1199999999,170.03887981121494
687,RRGB,2015-07-08,1707677.56,1245171.8399999999,173.398817647413
686,RRGB,2015-07-09,1724229.68,1254917.4,173.436130850346
685,RRGB,2015-07-10,1717022.4,1280481.8399999999,173.42571435848942
684,RRGB,2015-07-13,1714116.9,1303786.44,171.07781865788303
683,RRGB,2015-07-14,1633586.57,1294182.1199999999,169.4563004527747
682,RRGB,2015-07-15,1715512.09,1291216.08,174.3694019328703
681,RRGB,2015-07-16,1707060.31,1283589.1199999999,174.86450332515795
680,RRGB,2015-07-17,1692423.04,1288250.0399999998,169.80392318236514
679,RRGB,2015-07-20,1674767.09,1266922.8,168.08606247180023
678,RRGB,2015-07-21,1725448.88,1274408.52,169.5159848550952
677,RRGB,2015-07-22,1729508.65,1279351.92,167.85121989338984
676,RRGB,2015-07-23,1694734.33,1305622.56,166.970954106379
675,RRGB,2015-07-24,1719873.13,1268617.68,167.47095116426874
674,RRGB,2015-07-27,1715498.09,1235850.0,166.80504322102817
673,RRGB,2015-07-28,1719533.79,1250256.48,167.60065606841854
672,RRGB,2015-07-29,1687433.38,1254634.92,166.8848013500094
