Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Annie P.,"Boca Raton, FL",0,11,,2.0,12/9/2015,"No drink specials? What the heck? Anyhow, yes fine we like the food, but this place seriously has no specials what so ever.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Lynn S.,"Boynton Beach, FL",46,9,,5.0,6/16/2013,"My friends had a fundraiser to benefit the Leukemia & Lymphoma Society about a month ago. California Pizza Kitchen at the Wellington Mall donated a portion of the sales that day to Team in Training/LLS. I ordered online and brought my fundraising coupon in to the restaurant at the mall. Food was being bagged up as I got to the Take Out counter.  Delicious food, I'll be coming back with my boyfriend in the future to eat-in at the restaurant!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Adam F.,"Jupiter, FL",14,251,,1.0,1/6/2013,"So of course I am with my girl.   I usually do not write reviews on chain restaurants because honestly, what do they care?  They are backed by corporate dollars and probably have no idea what Yelp is. My girl and I go to CPK at The Gardens Mall and it is always consistently good.  Service is great.  Classy atmosphere.  Food is wonderful.  So going to the Wellington one I would've expected the same correct?  Not? Service was very bad.  The food was like from another entirely different restaurant.  I love their waldorf salad when it's done good, like in Gardens.  But Wellington?  Really, it was like I wasn't even at a CPK.  Completely different salad.  Left there hungry.   And looking around the restaurant itself.  Dirty.  Dust and crap on the window sills.  Carpet was just gross.  Overall felt dirty.  Read my review on the mall itself and that should be reason enough not to even come to this CPK, let alone the mall.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Piper D.,"Orlando, FL",1,77,4,1.0,9/7/2013,"No, never mind. This place has gone downhill. It was so bad the last time I went there (last time ever. Won't be going back). The food was awful and it took TWO HOURS from start to finish during weekday LUNCH hour because no one would get us our check.  The manager was flustered and offered a comp and we took it, but it took 5 tries to get us our void check because she kept handing us other people's void checks (because so many other people were getting comps).",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Bernard S.,"West Palm Beach, FL",2,88,45,2.0,10/10/2012,"California Pizza Kitchen (or ""CPK"" as they refer to themselves) had a good thing going for a while, being part of that California Cuisine movement in the '90s that brought on creative combinations in a moderately healthy way.  However, times have changed and folks today are less interested in ""fufu pizza"" that comes with a very high price tag and mildly involved servers.  Atmosphere is very corporate, could just as well be a Silicone Valley lunch room.  Soups are very good and salads nice and fresh.  Just beware; a pizza and a drink with some sides and your meal will be up to $50 in no time. Like another server said: If you want creative pizza, come try it. If you want good pizza: go elsewhere.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Jane L.,"West Palm Beach, FL",20,12,6,4.0,11/29/2013,Renovations underway at CPK of the Wellington mall food tastes great. Carla was a very attentive server .The chicken dumplings were tasty and the  pork tacos great.,https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Tiffany T.,"Pompano Beach, FL",137,47,1,4.0,11/5/2010,"I don't understand the first review about creative and good pizza not being mutually exclusive, because in my opinion, they definitely can be! It was a slow Wednesday evening in the mall so there was not a long wait. I've waited for a table here for up to 30 minutes in the past on a Friday or Saturday evening.  I started my meal off with the tortilla soup. It was delicious but I thought it lacked a little bit of vegetables. It was mostly soup. We ordered the carne asada pizza and oh my..our palettes were lit with joy. The pizza was made with a cilantro pesto rather than a red sauce and it was topped with Monterrey Jack, mozzarella cheese, mild green peppers and grilled steak. It was served with a side of tomatillo and roasted tomato salsa. It was delicious. The crust is a amazing. It's thin with a bit of sweetness to it.  The service was great at this location. My waiter forgot my cherry limeade and eventually brought it out but he didn't charge me for it. It was an overall excellent meal. So, if you're looking for creative AND good pizza, definitely check out CPK!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Todd W.,"Hollywood, FL",98,320,,3.0,2/28/2013,"Decent pizza.  My thing normally is to stay away from Chains, while this does have the chain label, the food is fairly good and the different options are pretty cool.  Thai Chicken is really good and recommended for those who enjoy Thai.  Though it's not really authentic italian pizza, it's good for what it is and a decent dine in.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
David D.,"West Palm Beach, FL",421,61,6,4.0,5/22/2011,"California Pizza Kitchen (CPK) was founded in Los Angeles as a less expensive copy of Spago, the original creator of the BBQ chicken pizza. So it is not true to say that it's exactly original, but it's certainly different from most pizza restaurants. With most pizza places, you generally order a large-sized pizza and divvy it up among your table mates.  So if a pizza is $15, that's effectively the price of your meal plus drinks and tip. With CPK, each diner orders a personal pizza, which costs $13-18. So it is much, much more expensive to dine at CPK than typical pizza places. Pizzas are, well, interesting.  There is a standard Italian style pizza on the menu, but that's not why you go to CPK.  You go to CPK for the unique and unusual, such as the BBQ Chicken Pizza or Thai Chicken Pizza.  Basically, the restaurant's creators take a theme like BBQ chicken or Thai and execute it on top of a pizza. In my view, the Thai is the best - you get chicken, cheese and various vegetables on top of a delicious thai peanut sauce. The ingredients are always high quality, but the combination of them and the pizza format can be variable. Sometimes there is such a weight of ingredients on the pizza that the crust cannot properly support it and feels soggy.  Other times, the combination of ingredients was too strange for even my palate, and some people may find the enormous variety of available pizzas difficult to choose from. When you're in the mood for a change in the staid world of pizza, this is a great place to go.  Service is generally excellent and smooth.  And i always enjoy my pizza.  But if you are a pizza traditionalist, by all means take the advice of Anthony V and stay away :).",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Maria B.,"Atlanta, GA",2,17,7,3.0,11/18/2012,"I went to CPK for the first time yesterday. i enjoyed my meal but was kinda disappointed because I expected the food to be so much better considering the price. We were seated very quickly but it took a while for our entrees to come out. I ordered the carnitas tacos, they were ok. I really think $10 for two tacos (that only included salsa and chips as a side)were overpriced. The tacos weren't nasty but they didn't blow me away either. My friend ordered the meat cravers pizza. It was delicious. But it wasn't better than any other pizza I've eaten. The service was great though. I would eat there again, but only to grab a pizza to go.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Lee S.,"Palm Beach, FL",31,225,13,5.0,10/2/2011,"My first experience with CPK was in Los Angeles, CA. That was quite a few years ago and I always loved the Duck Pizza which is no longer on the menu. The pizza is good and they have a new honey-wheat crust available which is quite nice. The servers are friendly and professional.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Paul M.,"Lake Worth, FL",1,24,1,3.0,12/9/2011,Not sure I would ever give a chain really high reviews. What could be remarkable about a place that you can visit all over the country and get the same food in each one? They have great variety and the staff is attentive. I typically like the pizzas. No surprises.,https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
M T.,"South San Francisco, CA",0,199,,2.0,12/2/2013,"Was there in October 2013.  Ordered one five cheese pizza and one artichoke and spinach pizza.  Pizzas were ok, but nothing special.  Service was good.  Got a free mushroom and spinach flatbread appetizer with our order.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Einapets W.,"Hollywood, FL",0,10,,4.0,1/25/2012,I love their miso shrimp salad it is so yummy! Also their pizzas are delicious and there is such a variety too choose from! They would get five stars however the last two times I was their in Wellington I was not offered bread and the waitress was slow to come to the table too order.,https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
David K.,"Lake Worth, FL",132,18,5,5.0,8/5/2011,"If you like fancy pizza, this is the place.  We love it.  Food always seems to be cooked fresh.  Love the salads as well.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Brett S.,"West Palm Beach, FL",0,142,,3.0,5/22/2011,We enjoy going and having their Moroccan chicken salad which is very good. We usually skip the pizza as we try and watch our weight. This location is at the Gardens Mall so it is a natural for  nice after dinner walk with some shopping. The service can be a mixed bagged and can vary greatly depending on your server.  The ambiance is fair and they could make the seating a bit more comfortable.,https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Alex N.,"Lake Worth, FL",0,3,,5.0,7/12/2011,"the best resturant i have ever been too. great food, great pizza, and great desserts. it is a little pricy but other than that its great, So great that i go here every year for my birthday.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=40
Kirk F.,"Lake Worth, FL",28,55,255,4.0,6/26/2015,"Had our first visit here.  The chef even came by to welcome us.  We all picked one of the strawberry items to drink and eat.  They were very good and tasty.   The food choices and decor reminded us of our trip to California last summer.  Really liked the photos of California on the walls, especially the ones of Big Sur. We will definitely be back!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Lisa C.,"Wellington, FL",59,50,17,4.0,7/18/2016,"Great place to grab lunch/dinner while in or near wellington green mall.  Yummy sweet teas to quench your thirst in many different flavors.  Free bread and oil dip to munch on while waiting on your food.  Interesting pizza combos, we got thai chicken and it was fantastic.  Butter cake for dessert completed our meal.  Took off one star as prices are a little high and can get too crowded.  Also very dark inside if seated in corner.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Klutch G.,"Royal Palm Beach, FL",0,43,9,4.0,4/12/2017,"Good pizza, great Shrimp! Expensive environment quiet but laid back and casual. Friendly staff, youthful. Appetizer came fresh and hot and was pretty good. Pizza took a little longer and sad to say wasn't enough. Have not been back but will someday!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
