Username,location,friend_count,review_count,photo_count,rating,date,review,Url
JF T.,"Huntington Beach, CA",1,250,86,5.0,4/27/2016,CPK is consistently yummy.  The best part is ordering on-line and pulling up to the take-out area where they bring your food to the car.  A great stop on the way home from work when you are dead tired and don't feel like going to the market.  Employees who bring the food out are always super friendly.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Bill T.,"Long Beach, CA",72,8,,1.0,9/16/2016,I wish you could give it a no stars so my wife orders pick up service and I get there or call him in a half hour later still haven't showed up so I call him and I guess they forgot that I was out there in another half hour goes by before they give me my food which is Cold never come back here again I would never order takeout again I don't think it even come back to this restaurant to get the net all nonchalant and then tried to like blow me off don't say they're sorry just give me my food and off I go,https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Ally J.,"Long Beach, CA",2,37,25,5.0,5/1/2016,"Thank you for being allergy friendly! My son has multiple food allergies so eating out as a family is a challenge. When I asked the waitress for any allergen info on pizza, she came back with allergen list . Service is great, place is very clean and lots of parking. We will be back often !",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Richard C.,"Long Beach, CA",15,83,30,3.0,10/30/2016,"Way too loud in here. Especially, if you're sitting next to a table full of Chinese people",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Brandon W.,"South Gate, CA",37,22,2,2.0,10/16/2016,"We went on a Saturday night around 7:30 after a visit to the nearby pumpkin patch.   We waited around half an hour to be seated, which was to be expected given we had a large party.  Service was extremely slow.   The waitress  was doing the best she could but we noticed multpile patrons meeting with the manager regarding the long wait for food.   Roughly 45 minutes after being seated I spoke to the manager and told him we would be paying for our drinks and leaving.   The food made it out in a couple of minutes.   He offered to comp or deserts as he did the table behind us for the same reason.  We ordered the desserts and he came back to the table and said he wouldn't give everyone a desert, we were to share three.  LAME. We ordered or desserts anyhow, paid, and left.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Sal Q.,"Long Beach, CA",0,38,1,5.0,8/21/2016,I received a gift card from work in a raffle I never been to a CPK before but it's free so me and my boyfriend went. The food was good I really enjoyed the garlic chicken pizza that was actually the best I've had and my boyfriend loved the garlic Alfredo pasta w chicken. Our server was Sammie she recommended some dishes because I was indecisive and her choice was on point because I didn't know you could half the pizza w 2 diff flavors. When our order came out there was an error it was not half and half what I order but I would have gladly accepted the error because I was hungry. The manager came out I wish I got his name but he was African American about 35 ish years old (sorry if I'm off) he told me that there was a  mistake and assured me the correct pizza was in the oven and I actually would be getting both. A free pizza who would say no? But the experience was awesome they honestly did not have to do that but I appreciated that and also a worker up front opened the door for us and asked us which door we were leaving through and that he would open it for us. Never would think to go here before but I'm glad I did and I would def come again thanks to the customer service here.  Thanks again Sammie!,https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Bryan C.,"Torrance, CA",19,34,6,3.0,10/22/2016,I've had better CPK than the food I had at this location. The salad I got was blah and the pizza was only ok. The mushroom flatbread was the best by far and our server was great.,https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Dee R.,"Downey, CA",51,255,589,4.0,12/27/2015,"We have been here a few times and service and food are always good. We like the $10 lunch special with an individual pizza and a nice side salad. It's perfect, but not all locations offer it. We recommend the lunch menu if you stop in during the week in the afternoons.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Martha C.,"Long Beach, CA",0,4,,4.0,12/2/2016,"The staff is friendly and attentive. I love their food and atmosphere. The food is always on point.!Depending on where you're seated, You can see the sun set from the windows. Definitely a great location!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Zaira C.,"Inglewood, CA",0,6,1,5.0,11/11/2016,"Great food and great service! Before we were seated I overheard the hosts talking about possibly overseating the waiter, so I automatically thought we were going to wait even more (came here on veterans day). But nope! Our server James attended us right away and gave us great service despite how busy he was.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Hannah G.,"New Orleans, LA",2,22,8,5.0,12/27/2014,"Came here for dinner. Got Shrimp Scampi Zucchini Fettuccini. It was amazing, super delicious.  The service was amazing. Our waiter, Paul, was great. Fastest service I might have ever had.  Great place. Great atmosphere.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Karim N.,"Long Beach, CA",2,24,,4.0,10/15/2016,"We went for lunch, service was excellent, the food even better. For appetizers we ordered dumplings, and guacamole, both were superb! Then I got the Thai salad, which was very fresh and delicious. Others had a pizza, and the Tequila pasta, both were excellent from what I was told.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Joe A.,"Garden Grove, CA",0,25,,5.0,3/14/2017,"Paige and Shiela went above and beyond with customer service! (Thank you for the butter cake recommendation it was amazing! ) We appreciate the experience. They were excellent from beginning to end! You can tell Sheila really enjoys her job and was not just trying to please us, she was going table to table making friends with everyone! Paige was a wonderful waitress, who gave us excellent service, even when something went wrong she handled it so well! Kudos to Erick the host, who opened the door for every customer! This is not something you see at normal chain restaurants. The management is handling this place very well! Thank you!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Shawn H.,"Huntington Beach, CA",74,205,83,5.0,8/5/2016,"Can I just say the crew here has made my grandson's birthday experience amazing. Just want to say thank you to the crew here and also my friend Bryan Baker. Thank you so much for being amazing people you are, we had a fabulous dinner and a great dining experience thank you, thank you, thank you.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Shayne L.,"Escondido, CA",157,56,85,4.0,7/13/2015,"4 stars would be because the servers are very nice. I loved the Thai salad but I would only give 3 stars to my pasta. It was dry for me and the noodles seemed undercooked. Everything else however was tasty. We had buffalo pizza, spinach and artichoke dip which was so good, chicken fettuccine Alfredo, & Thai salad. The salad and dip was my favorite. Everything is very filling and the waitresses were very sweet and attentive to our large party. The pizza is yummy and you don't feel so guilty if you're health conscious because it is pretty thin and not at all greasy. I would recommend the spinach & artichoke and the Thai salad! Also was great proportions for the salad. The pasta seemed like it needed more & the pizza was as expected",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Joy R.,"Seal Beach, CA",10,113,346,5.0,10/14/2014,"This place is DA BOMB!!! Brian the bartender took AWESOME care of us tonight as we enjoyed a beautiful sunset in front of their open flame brick oven. Highly recommend their new hand shaken agave mojito...Cool, crisp & REFRESHING!!! New soups, vegetable squash & baked potato soup duo was the perfect start to this incredible meal. We split the spinich, asparagus angel hair pasta then kicked it up a couple notches by adding goat cheese & pine nuts. How may you fellow Yelpers finish a din-din like that...TIRAMISU with extra sauce B-A-B-Y!!! Brian - We will most DEFINITELY be back for the new CPK entree on the 17th along with the butter cake just because YOU recommended it. GREAT JOB!!!",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
Luam W.,"Rancho Palos Verdes, CA",3,25,36,4.0,4/23/2016,"The food was great, but the waiters were a little slow to check on you, but the food came out fast. Also there is a typo on the kid's menu that says the edamame is $59 at least I hope that's a typo if not that's a way too high price.",https://www.yelp.com/biz/california-pizza-kitchen-long-beach-2?start=40
