Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Ross L.,"Philadelphia, PA",0,5,,1.0,3/13/2017,"Terrible experience. We went on Friday 3/10/17 evening and were quickly seated. There were surprisingly few tables occupied, but many servers. Our server had our table and 2 others. We were greeted and brought bread and water. After that we sat for nearly 30 minutes with zero communication from either our server or any other servers that saw us sitting waiting and obviously annoyed. We got up and left with the server waving his arms and the host saying, aww sorry about that. What happened to this place? Was one of the few sit down and relax restaurants on City Ave that interested me. Staff generally seem annoyed and management is non existent or stay invisible, when they shouldn't. Please fix these problems so I can come back and enjoy a local dinner that actually occurs.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Casey P.,"Philadelphia, PA",39,147,22,3.0,7/15/2015,"This place is hit or miss for me. I really enjoy their food. I've never had a problem with that. It's just that the few times I've gone the service has been less than stellar. This last time, my server was pretty good, but I could tell she got a little agitated when I miscommunicated a menu item. The saying goes: the customer is always right. I don't want the the third degree for something I didn't really want. She was still nice; it just was more stressful than it should have been, complete with the manager coming to the table. Totally unnecessary.  The first time I was here, the waiter was great, the service was just unbearably slow and it was during lunch with hardly anyone there. So I guess I will see what happens the next time I go. I'm not opposed to recommending it or eating here again, I just wish the service was more consistent.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Van H.,"Philadelphia, PA",213,9,77,4.0,2/12/2016,"We ordered tortilla egg roll, which was just OK. It wasn't bad just not too memorable for me. We also had the pepperoni sausage pizza and the Kung Pao Spaghetti which were great entrees. I would recommend and order them again. The quality of the sausage and pepperoni were fresh and delicious. The stir fried spaghetti was by no means authentic but the level of spiciness and savoriness maid it very enjoyable. Last but not least we had the salted caramel pudding. I'd give it two thumbs up! The service was decent. The waitress was very casual and joked with us. She was pleasant and checked in on us. Although when we first walked in no one was there to greet us and we had to wait a few minutes.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Brahim R.,"Philadelphia, PA",269,2,15,5.0,6/9/2016,"Service is great food is awesome *Favs Kung pow spaghetti, chicken tequila pasta and the pan roasted chicken with Mediterranean veggies   Also u have to get the butter cake for dessert outta this world!!!",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Alex F.,"Huntingdon Valley, PA",131,21,31,3.0,6/4/2016,This is a solid chain restaurant.  I normally don't have any issue with their service. Last time I came here I sat outside. I asked for a table with an umbrella and after just a few minutes they cleared off a table with an umbrella.  Lunch time is fairly crowded.  My dad really likes the Cobb salad here.  He adds salami to it and never complains about the meal.  He enjoys it.  Don't think anything amazing but solid.   I also enjoy the Cobb salad here.  I've been drinking some more Arnold palmers recently and I got it here.  It was a good mix of lemonade and tea.  Recently I got their garlic roasted chicken dish.  I asked for the sauce on the side and that wasn't a problem.  It was pretty good.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia
Rose J.,"Atlanta, GA",213,92,122,1.0,4/29/2014,"Food: we got the original bbq chicken pizza, which was good. However, their spicy chipotle chicken pizza was soooo good especially with their green sauce. Overall, good pizza. I'm giving this place a 1 star b/c our service was so poor! Our waiter was quite rude to us and he didn't even check on us to see if we wanted to order more food or to refill our drinks. We had to flag our waiter on two occasions. Suffice to say, we did not leave him any tip, b/c bad behavior does not warrant a tip. Will not be returning.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=40
Jeff C.,"Temple, GA",21,27,15,5.0,11/6/2015,"If your in the area there are lots of restaurants to choose from in this area. I can't recommend this location enough. The service was great and the food was even better. They accidentally messed up my order on my pizza. I ordered a white pizza with extra pepperoni. They made me a regular with extra pep. The server noticed this error boxed the pizza up for me to go and rushed out the right order. I was impressed with this. I understand that things go wrong, and it's how you respond to them that I look at when reviewing customer service. Great job CPK!!",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=40
Jarrett H.,"Charlotte, NC",91,19,,4.0,6/12/2016,I've been there a few times with friends and I've enjoyed it every time.  There menu is diverse and the prices are reasonable.  The service is ok and the efficiency is decent.,https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=40
Jessica A.,"Bala Cynwyd, PA",6,26,36,5.0,6/14/2014,"I've been eating at this place for few years now (since I live close by), and it never disappoint me. Friendly staff, and the place is clean. Yes, the place can be loud during lunch and dinner time. But that's not the restaurant fault though. They can't just tell customers to shush lol  Although this restaurant specializes in pizzas, I'm not a fan of their pizzas. My fave are their salad, pastas/fettucini, tiramisu and their beverages from the bar.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=40
Angie A.,"Philadelphia, PA",5,9,7,5.0,8/25/2015,"Very tasty!!! Had the delicious Tortilla eggrolls!!! And pizza was gr8! Meat lovers, and the works!!! IT was yummy!!#",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=40
Erin K.,"Media, PA",1,10,,1.0,11/13/2014,"I ordered from California pizza kitchen through grub hub, I ordered around 8:00 and got my food at 9:50, two hours is too long. Not only was it was late but it was incorrect and a meal I can't eat due to dietary restrictions. I called both the driver and the restaurant and they continuously blamed each other. I recognize that it's hard to account for a third party company but if you can't control the quality of service you are giving then don't do it. I was ordering California pizza kitchen. I extremely disappointed.",https://www.yelp.com/biz/california-pizza-kitchen-philadelphia?start=40
