Rating,Number Of Ratings,Address
4.4/5,988 ratings,"6331 Seven Corners Center, Falls Church, VA 22044, USA"
House-Made Ranch,$0.00,Deliciously Dunkable Dipping Sauce, 
Chimichuri Aioli,$0.75,Deliciously Dunkable Dipping Sauce, 
Towering Doh! Ring of 8,$8.99,Sweet Things,Doh! Why didn’t we think of it before? Of course it’s delicious when croissants mix with donuts! Enjoy this tasty towering treat with layers of flavors served with hot fudge and berry dipping sauces.
Doh! Ring Shorty™ of 4,$6.49,Sweet Things, 
Gooey Chocolate Brownie Cake,$5.99,Sweet Things,Indulgent chocolate brownie cake and hot fudge topped with vanilla ice cream and berry sauce.
Mountain High Mudd Pie,$6.99,Sweet Things,"An avalanche of chocolate and vanilla ice cream layered with OREO® cookies, fudge and caramel. Topped with whipped cream."
Double Berry Cheesecake,$5.99,Sweet Things,Rich New York-style cheesecake in a buttery graham cracker crust. Topped with whipped cream and sweet strawberries in berry sauce.
Chocolate Fruffles™,$5.99,Sweet Things,"Get carried away with these sinfully rich and soft fudge brownies dipped in dark chocolate and bejeweled with French sea salt and sugar crystals. Served chilled with a side of berry ""ketchup"" for dipping, they're perfect for sharing. Go ahead, you deserve this."
Sweet Treats Trio,$8.99,Sweet Things,"A shareable trio of our signature desserts: OREO® Crumble Sundae, Doh! Rings™ and Chocolate Fruffles®. Served with caramel for dipping."
Red's Burger,$4.99,Red Robin Kids' Menu,"Beef, veggie, turkey, Veggie Patty or grilled chicken."
Mac It Yours,$4.99,Red Robin Kids' Menu,"Comes classic, or top it with broccoli or diced tomatoes."
Meatballs on a Stick,$5.99,Red Robin Kids' Menu,"9 meatballs and edible breadsticks. Choose teriyaki, marinara or 4-cheese sauce."
Lil' Appetites Meatballs on a Stick,$4.99,Red Robin Kids' Menu,"6 meatballs and edible breadsticks for. Choose teriyaki, marinara or 4-cheese sauce."
Corn Doggies,$5.79,Red Robin Kids' Menu,9 honey-battered corn-dog bites.
Lil' Appetites Corn Doggies,$4.79,Red Robin Kids' Menu,6 honey-battered corn-dog bites.
Swirly Twirly Pasta,$5.99,Red Robin Kids' Menu,Topped with Parmesan cheese.
Grilled Cheesy,$4.49,Red Robin Kids' Menu,American cheese melted on Texas toast.
Cluck-A-Doodles,$5.99,Red Robin Kids' Menu,3 breaded chicken tenders.
Lil' Appetites Cluck-A-Doodles,$4.99,Red Robin Kids' Menu,2 breaded chicken tenders.
M.V.P.IZZA - Cheese,$4.99,Red Robin Kids' Menu, 
M.V.P.IZZA - Pepperoni,$5.19,Red Robin Kids' Menu, 
Grilled Chicken Stickens,$4.99,Red Robin Kids' Menu,Choose dipping sauce.
Cod Crunchers,$5.79,Red Robin Kids' Menu,"Hand-battered cod fillets, served with tartar sauce."
Kid's Rootbeer Float,$1.99,Red Robin Kids' Menu,Barq’s® and soft-serve.
Kid's Creamy Milkshake,$2.99,Red Robin Kids' Menu,Choose up to three flavors.
Kid's Strawberry Smoothie,$1.99,Red Robin Kids' Menu,A refreshingly fruity treat.
Kid's Freckled Lemonade,$1.19,Red Robin Kids' Menu,Regular or light.
Kid's Orange Cream Soda,$2.79,Red Robin Kids' Menu, 
Kid's Raspberry Cream Soda,$2.79,Red Robin Kids' Menu, 
Favorite Flavors Milkshake,$3.99,All-Age Chillin' Concoctions,Choose up to 3.
Salted Caramel Milkshake,$3.99,All-Age Chillin' Concoctions,"A salty, sweet and sinful blend of caramel and red Hawaiian sea salt."
Mint Brownie Milkshake,$3.99,All-Age Chillin' Concoctions,The best of both desserts.
Cookie Magic,$3.99,All-Age Chillin' Concoctions,A spellbinding combination of chocolate and OREO® cookies.
Nana-Nana-Moo-Moo,$3.99,All-Age Chillin' Concoctions,Go wild with this creamy shake made from banana purée and Hershey's® chocolate syrup and topped with chocolate banana sauce.
Coconut Pineapple Smoothie,$4.29,All-Age Chillin' Concoctions,"An all-ages version of our Caribbean classic! Coconut cream, pineapple juice and soft serve blended to creamy perfection. Garnished with a fresh slice of pineapple."
Hawaiian Heart Throb Smoothie,$4.29,All-Age Chillin' Concoctions,"A creamy blend of strawberries, bananas and grenadine. Sip to the beat of your heart—or a steel-drum band."
Soft Drinks,$2.99,Beverages,Coca-Cola® products.
Freckled Lemonade,$4.49,Beverages,The drink that made us delicious. And famous.
Very Berry Raspberry Limeade,$4.49,Beverages,"Pucker up! Raspberry and lime fruit flavors, Sprite® and a fresh lime wedge."
Poppin' Purple Lemonade,$4.49,Beverages,Take a walk on the wild side with this tart and sweet prickly pear lemonade.
Fresh-Brewed Gold Peak Tea,$2.99,Beverages,"Regular or flavored with peach, raspberry or pomegranate."
Root Beer Float,$4.99,Beverages,The Drinkable Dessert! Barq’s® and soft serve.
Orange Cream Soda,$3.79,Beverages,Make your sweet dreams come true when you grab a spoon and mix the whipped cream in to our delicious blend of Sprite® and candied orange.
Raspberry Cream Soda,$3.79,Beverages,"Enjoy wild raspberry, Sprite® and the thrill of stirring in our whipped cream to create a soda that’s outta this world!"
