Rating,Number Of Ratings,Address
4.5/5,1959 ratings,"Kenwood Towne Centre, 7875 Montgomery Rd, Cincinnati, OH 45236"
Catering Jamaican Black Pepper,$75.95,Specialties,"Sautéed Shrimp, Chicken or Chicken and Shrimp with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Cool Mango Salsa."
Catering Fresh Grilled Salmon,$83.95,Specialties,Served with Mashed Potatoes and Broccoli.
Catering Herb Crusted Filet of Salmon,$85.95,Specialties,"Fresh Salmon with a Delicious Lemon Sauce, Asparagus and Mashed Potatoes."
Catering Miso Salmon,$85.95,Specialties,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Catering Seared Ahi Tuna,$85.95,Specialties,"Chilled and Served Over White Rice with Sriracha Aioli, Stir-Fried Vegetables and Wasabi Butter Sauce."
Catering Tomato Basil Pasta,$67.95,Pastas,"Grilled Chicken, Fresh Mozzarella, a Touch of Garlic and Penne Pasta. Light and Fresh."
Catering Fettuccini Alfredo,$71.95,Pastas,A Rich Parmesan Cream Sauce.
Catering Fettuccini Alfredo with Chicken,$85.95,Pastas,A Rich Parmesan Cream Sauce.
Catering Pasta Carbonara,$71.95,Pastas,"Spaghettini with Smoked Bacon, Green Peas and a Garlic-Parmesan Cream Sauce."
Catering Pasta Carbonara with Chicken,$85.95,Pastas,"Spaghettini with Smoked Bacon, Green Peas and a Garlic-Parmesan Cream Sauce."
Catering Four Cheese Pasta,$67.95,Pastas,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Catering Four Cheese Pasta with Chicken,$81.95,Pastas,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Catering Evelyn's Favorite Pasta,$67.95,Pastas,"Rigatoni Tossed with Broccoli, Oven-Dried Tomato, Zucchini, Roasted Eggplant, Peppers, Artichoke, Kalamata Olives, Onion, Garlic and Pine Nuts."
Catering Louisiana Chicken Pasta,$75.95,Pastas,"Parmesan Crusted Chicken Served Over Pasta with Mushrooms, Peppers and Onions in a Spicy New Orleans Sauce."
Catering Pasta da Vinci,$73.95,Pastas,"Sautéed Chicken, Mushrooms and Onions in a Delicious Madeira Wine Sauce Tossed with Penne Pasta."
Catering Farfalle with Chicken and Roasted Garlic,$73.95,Pastas,"Bow-Tie Pasta, Chicken, Mushrooms, Tomato, Pancetta, Peas and Caramelized Onions in a Roasted Garlic-Parmesan Cream Sauce."
Catering Spicy Chicken Chipotle Pasta,$75.95,Pastas,"Penne Pasta, Honey Glazed Chicken, Asparagus, Red and Yellow Peppers, Peas, Garlic and Onion in a Spicy Chipotle Parmesan Cream Sauce."
Catering Cajun Jambalaya Pasta,$81.95,Pastas,"Shrimp and Chicken Sautéed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini."
Catering Sheila's Chicken and Avocado Salad,$63.95,Salads,"Grilled Chicken, Fresh Avocado, Mixed Greens, Crisp Tortilla Strips, Carrots, Cilantro and Cashews Tossed in a Citrus-Honey-Peanut Vinaigrette."
Catering Chinese Chicken Salad,$65.95,Salads,"Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
Catering Cobb Salad,$67.95,Salads,"Chicken Breast, Avocado, Blue Cheese, Bacon, Tomato, Egg and Mixed Greens Tossed in Our Vinaigrette."
Catering Barbeque Ranch Chicken Salad,$67.95,Salads,"Avocado, Tomato, Grilled Corn, Black Beans, Cucumber and Romaine All Tossed with Our Barbeque Ranch Dressing. Topped with Lots of Crispy Fried Onion Strings for Crunch."
Catering Santa Fe Salad,$67.95,Salads,"Marinated Chicken, Fresh Corn, Black Beans, Cheese, Tortilla Strips, Tomato and Romaine with a Spicy Peanut-Cilantro Vinaigrette."
"Catering Chicken, Mango and Avocado Salad",$67.95,Salads,"Mixed Greens, Fresh Pineapple, Tomato, Cucumber, Red Peppers, Onion, Crispy Wontons and Almonds. Tossed with Vinaigrette."
Catering Freshly Brewed Black Tea,$16.50,Beverages, 
Catering Freshly Brewed Tropical Iced Tea,$16.50,Beverages, 
Catering Freshly Brewed Sweet Tea,$16.50,Beverages, 
Catering Coffee,$16.50,Beverages, 
Catering Decaf Coffee,$16.50,Beverages, 
Catering The Cheesecake Factory Special Lemonade,$19.50,Beverages, 
Catering Strawberry Lemonade,$19.50,Beverages, 
Catering Raspberry Lemonade,$19.50,Beverages, 
Catering Cucumber Lemonade,$19.50,Beverages, 
Catering 10 Inch Original,$45.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Fresh Strawberry,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Celebration Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Chocolate Hazelnut Crunch Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Salted Caramel Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Toasted Marshmallow S'Mores Galore™,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Oreo Dream Extreme Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Coffee & Cream Chocolate Supreme,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Lemon Meringue Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Adam's Peanut Butter Cup Fudge Ripple,$54.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Godiva Chocolate Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Ultimate Red Velvet Cake Cheesecake™,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Reese's Peanut Butter Chocolate Cake Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch 30th Anniversary Chocolate Cake Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Dulce De Leche Caramel Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch White Chocolate Raspberry Truffle,$54.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Chris' Outrageous Cheesecake™,$55.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Mango Key Lime Cheesecake,$54.95,Whole Cheesecakes and Specialty Cakes, 
Catering 10 Inch Fresh Banana Cream Cheesecake,$55.95,Whole Cheesecakes and Specialty Cakes, 
