Rating,Number Of Ratings,Address
4.6/5,1538 ratings,"400 S Baldwin Ave #903l, Arcadia, CA 91007, USA"
Catering Caesar Salad with Chicken,$60.95,Appetizer Salads,"The Almost Traditional Recipe with Croutons, Parmesan Cheese and Our Special Caesar Dressing."
Catering French Country Salad,$46.95,Appetizer Salads,"Mixed Greens, Grilled Asparagus, Fresh Beets, Goat Cheese, Candied Pecans and Vinaigrette."
Catering Fresh Vegetable Salad,$46.95,Appetizer Salads,"Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with Pomegranate Vinaigrette."
Catering Fresh Vegetable Salad with Chicken,$60.95,Appetizer Salads,"Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with Pomegranate Vinaigrette."
Catering Factory Chopped Salad,$56.95,Appetizer Salads,"A Delicious Blend of Julienne Romaine, Grilled Chicken, Tomato, Avocado, Corn, Bacon, Blue Cheese and Apple with Our Vinaigrette."
Catering Cheese Pizza,$12.95,Pizza, 
Catering Pepperoni Pizza,$14.50,Pizza, 
Catering Margherita Pizza,$13.95,Pizza,"Fresh Mozzarella, Basil and Tomato Sauce."
Catering B.B.Q. Chicken Pizza,$14.50,Pizza,"Mozzarella, Fontina, Red Onion and Cilantro."
Catering The Everything Pizza,$15.50,Pizza,"Pepperoni, Sausage, Peppers, Onions, Mushrooms, Mozzarella and Tomato Sauce. Kalamata Olives on Request."
Catering White Chicken Chili,$63.95,Specialties,"A Generous Bowl of Chicken, White Beans, Roasted Green Chiles, Onions and Garlic with a Touch of Cream. Garnished with Steamed White Rice and Fresh Salsa."
Catering Shepherd's Pie,$67.95,Specialties,"Ground Beef, Carrots, Peas, Zucchini and Onions in a Delicious Mushroom Gravy Covered with a Mashed Potato-Parmesan Cheese Crust."
Catering Truffle-Honey Chicken,$71.95,Specialties,"Fried Chicken Breast with Truffle-Honey, Asparagus and Mashed Potatoes."
Catering Famous Factory Meatloaf,$75.95,Specialties,"Served with Mashed Potatoes, Mushroom Gravy, Grilled Onions and Corn Succotash."
Catering Chicken Madeira,$81.95,Specialties,"""Our most popular chicken dish! Sauteed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes"""
Catering Crusted Chicken Romano,$75.95,Specialties,"""Breast of Chicken Coated with a Romano-Parmesan Cheese Crust. Served with Pasta in a Light Tomato Sauce"""
Catering Orange Chicken,$71.95,Specialties,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Catering Crispy Chicken Costoletta,$75.95,Specialties,"""Chicken Breast Lightly Breaded and Sauteed to a Crisp Golden Brown. Served with Lemon Sauce, Mashed Potatoes and Fresh Asparagus"""
Catering Chicken Piccata,$77.95,Specialties,"Sautéed Chicken Breast with Lemon Sauce, Mushrooms and Capers. Served with Angel Hair Pasta."
Catering Spicy Cashew Chicken,$71.95,Specialties,A Very Spicy Mandarin-Style Dish with Green Onions and Roasted Cashews. Served over Rice.
Catering Teriyaki Chicken,$75.95,Specialties,Charbroiled Chicken with Teriyaki Sauce. Served with Steamed Rice.
Catering Chicken Marsala and Mushrooms,$83.95,Specialties,Chicken Breast Sautéed with Fresh Mushrooms in a Rich Marsala Wine Sauce. Served over Bow-Tie Pasta.
Catering Bang-Bang Chicken and Shrimp,$83.95,Specialties,"A Spicy Thai Dish with the Flavors of Curry, Peanut, Chile and Coconut. Sautéed with Vegetables and Served over Steamed White Rice."
Catering Jamaican Black Pepper,$75.95,Specialties,"Sautéed Shrimp, Chicken or Chicken and Shrimp with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Cool Mango Salsa."
Catering Fresh Grilled Salmon,$85.95,Specialties,Served with Mashed Potatoes and Broccoli.
Catering Herb Crusted Filet of Salmon,$87.95,Specialties,"Fresh Salmon with a Delicious Lemon Sauce, Asparagus and Mashed Potatoes."
Catering Miso Salmon,$87.95,Specialties,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Catering Seared Ahi Tuna,$85.95,Specialties,"Chilled and Served Over White Rice with Sriracha Aioli, Stir-Fried Vegetables and Wasabi Butter Sauce."
Catering Tomato Basil Pasta,$67.95,Pastas,"Grilled Chicken, Fresh Mozzarella, a Touch of Garlic and Penne Pasta. Light and Fresh."
Catering Fettuccini Alfredo,$71.95,Pastas,A Rich Parmesan Cream Sauce.
Catering Fettuccini Alfredo with Chicken,$87.95,Pastas,A Rich Parmesan Cream Sauce.
Catering Pasta Carbonara,$71.95,Pastas,"Spaghetti with Smoked Bacon, Green Peas and a Garlic-Parmesan Cream Sauce."
Catering Pasta Carbonara with Chicken,$87.95,Pastas,"Spaghetti with Smoked Bacon, Green Peas and a Garlic-Parmesan Cream Sauce."
Catering Four Cheese Pasta,$69.95,Pastas,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Catering Four Cheese Pasta with Chicken,$85.95,Pastas,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Catering Evelyn's Favorite Pasta,$69.95,Pastas,"Rigatoni Tossed with Broccoli, Oven-Dried Tomato, Zucchini, Roasted Eggplant, Peppers, Artichoke, Kalamata Olives, Onion, Garlic and Pine Nuts."
Catering Louisiana Chicken Pasta,$75.95,Pastas,"Parmesan Crusted Chicken Served Over Pasta with Mushrooms, Peppers and Onions in a Spicy New Orleans Sauce."
Catering Pasta da Vinci,$75.95,Pastas,"Sautéed Chicken, Mushrooms and Onions in a Delicious Madeira Wine Sauce Tossed with Penne Pasta."
Catering Farfalle with Chicken and Roasted Garlic,$75.95,Pastas,"Bow-Tie Pasta, Chicken, Mushrooms, Tomato, Pancetta, Peas and Caramelized Onions in a Roasted Garlic-Parmesan Cream Sauce."
Catering Spicy Chicken Chipotle Pasta,$75.95,Pastas,"Penne Pasta, Honey Glazed Chicken, Asparagus, Red and Yellow Peppers, Peas, Garlic and Onion in a Spicy Chipotle Parmesan Cream Sauce."
Catering Cajun Jambalaya Pasta,$83.95,Pastas,"Shrimp and Chicken Sautéed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini."
Catering Sheila's Chicken and Avocado Salad,$67.95,Salads,"Grilled Chicken, Fresh Avocado, Mixed Greens, Crisp Tortilla Strips, Carrots, Cilantro and Cashews Tossed in a Citrus-Honey-Peanut Vinaigrette."
Catering Chinese Chicken Salad,$67.95,Salads,"Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
Catering Cobb Salad,$67.95,Salads,"Chicken Breast, Avocado, Blue Cheese, Bacon, Tomato, Egg and Mixed Greens Tossed in Our Vinaigrette."
Catering Barbeque Ranch Chicken Salad,$67.95,Salads,"Avocado, Tomato, Grilled Corn, Black Beans, Cucumber and Romaine All Tossed with Our Barbeque Ranch Dressing. Topped with Lots of Crispy Fried Onion Strings for Crunch."
Catering Santa Fe Salad,$67.95,Salads,"Marinated Chicken, Fresh Corn, Black Beans, Cheese, Tortilla Strips, Tomato and Romaine with a Spicy Peanut-Cilantro Vinaigrette."
"Catering Chicken, Mango and Avocado Salad",$67.95,Salads,"Mixed Greens, Fresh Pineapple, Tomato, Cucumber, Red Peppers, Onion, Crispy Wontons and Almonds. Tossed with Vinaigrette."
Catering Freshly Brewed Black Tea,$16.50,Beverages, 
Catering Freshly Brewed Tropical Iced Tea,$16.50,Beverages, 
Catering Freshly Brewed Green Tea,$16.50,Beverages, 
Catering Coffee,$16.50,Beverages, 
Catering Decaf Coffee,$16.50,Beverages, 
Catering The Cheesecake Factory Special Lemonade,$19.50,Beverages, 
Catering Strawberry Lemonade,$19.50,Beverages, 
Catering Raspberry Lemonade,$19.50,Beverages, 
Catering Cucumber Lemonade,$19.50,Beverages, 
Catering 10 Inch Original,$45.95,Whole Cheesecakes, 
Catering 10 Inch Fresh Strawberry,$59.95,Whole Cheesecakes, 
Catering 10 Inch Celebration Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Chocolate Hazelnut Crunch Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Salted Caramel Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Coffee & Cream Chocolate Supreme,$57.95,Whole Cheesecakes, 
Catering 10 Inch Oreo Dream Extreme Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Toasted Marshmallow S'Mores Galore™,$57.95,Whole Cheesecakes, 
Catering 10 Inch Lemon Meringue Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Adam's Peanut Butter Cup Fudge Ripple,$54.95,Whole Cheesecakes, 
Catering 10 Inch Godiva Chocolate Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Ultimate Red Velvet Cake Cheesecake™,$57.95,Whole Cheesecakes, 
Catering 10 Inch Reese's Peanut Butter Chocolate Cake Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Dulce de Leche Caramel Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch White Chocolate Raspberry Truffle,$54.95,Whole Cheesecakes, 
Catering 10 Inch Chris' Outrageous Cheesecake™,$57.95,Whole Cheesecakes, 
Catering 10 Inch Mango Key Lime Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Fresh Banana Cream Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch White Chocolate Caramel Macadamia Nut Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Lemon Raspberry Cream Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Tiramisu Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Chocolate Mousse Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Chocolate Tuxedo Cream Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Hershey's Chocolate Bar Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch 30th Anniversary Chocolate Cake Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Vanilla Bean Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Chocolate Chip Cookie-Dough Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Key Lime Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Low Carb Cheesecake,$51.95,Whole Cheesecakes, 
Catering 10 Inch Low Carb Cheesecake With Strawberries,$54.95,Whole Cheesecakes, 
Catering 10 Inch Caramel Pecan Turtle Cheesecake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Snickers Bar Chunks And Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Craig's Crazy Carrot Cake Cheesecake,$54.95,Whole Cheesecakes, 
Catering 10 Inch Cherry Cheesecake,$53.95,Whole Cheesecakes, 
Catering 10 Inch Linda's Fudge Cake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Black-Out Cake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Carrot Cake,$57.95,Whole Cheesecakes, 
Catering 10 Inch Lemoncello Cream Torte™,$57.95,Whole Cheesecakes, 
Catering 10 Inch Chocolate Tower Truffle Cake™,$57.95,Whole Cheesecakes, 
Catering 6 Inch Original,$18.95,Whole Cheesecakes, 
Catering 6 Inch Fresh Strawberry,$25.95,Whole Cheesecakes, 
Catering 6 Inch Cherry Cheesecake,$23.95,Whole Cheesecakes, 
Catering 6 Inch Chocolate Mousse Cheesecake,$23.95,Whole Cheesecakes, 
Catering 6 Inch White Chocolate Raspberry Truffle,$23.95,Whole Cheesecakes, 
Catering 7 Inch Original,$26.95,Whole Cheesecakes, 
Catering 7 Inch Fresh Strawberry,$34.95,Whole Cheesecakes, 
Catering 7 Inch Cherry Cheesecake,$29.95,Whole Cheesecakes, 
Catering 7 Inch Ultimate Red Velvet Cake Cheesecake™,$30.95,Whole Cheesecakes, 
Catering 7 Inch Reese's Peanut Butter Chocolate Cake Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch Oreo Dream Extreme Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch Salted Caramel Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch 30th Anniversary Chocolate Cake Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch Godiva Chocolate Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch Chocolate Mousse Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch White Chocolate Raspberry Truffle,$30.95,Whole Cheesecakes, 
Catering 7 Inch Dulce De Leche Caramel Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch Fresh Banana Cream Cheesecake,$30.95,Whole Cheesecakes, 
Catering 7 Inch Adam's Peanut Butter Cup Fudge Ripple,$29.95,Whole Cheesecakes, 
Catering 7 Inch Lemon Raspberry Cream Cheesecake,$29.95,Whole Cheesecakes, 
