Rating,Number Of Ratings,Address
4.4/5,732 ratings,"280 S Coast Hwy, Laguna Beach, CA 92651, USA"
Enlightened Kale and Roasted Brussels Sprouts Salad,$11.25,BJ's Garden Fresh Entrée Salads,Gluten-free item. Baby kale | herb-roasted brussels sprouts | romaine | fresh blueberries | sweet red grapes | dried cranberries | goat cheese | cucumbers | candied pecans | toasted pepitas | red onions | strawberry vinaigrette (cal. 440).
Enlightened Asian Chopped Salad,$11.95,BJ's Garden Fresh Entrée Salads,Grilled chicken | baby field greens | napa cabbage | romaine | red bell peppers | snap peas | green onions | shredded carrots | sesame seeds | crisp wonton strips | cilantro | mandarin oranges | honey ginger dressing (cal. 540).
Kale and Roasted Brussels Sprouts Salad,$11.25,BJ's Enlightened Salads,Gluten-free item. Baby kale | herb-roasted brussels sprouts | romaine | fresh blueberries | sweet red grapes | dried cranberries | goat cheese | cucumbers | candied pecans | toasted pepitas | red onions | strawberry vinaigrette (cal. 440).
Asian Chopped Salad,$11.95,BJ's Enlightened Salads,Grilled chicken | baby field greens | napa cabbage | romaine | red bell peppers | snap peas | green onions | shredded carrots | sesame seeds | crisp wonton strips | cilantro | mandarin oranges | honey ginger dressing (cal. 540).
Roasted Portobello and Asparagus,$6.25,Starter Salads,Sliced Portobello mushrooms | asparagus | baby field greens | balsamic vinaigrette | dried cranberries | goat cheese | toasted pepitas (cal. 290).
Tuscan Tomato Bisque,$7.50,Housemade Soups,Bowl. Creamy tomato soup | croutons | fresh parsley (cal. 560).
Broccoli Cheddar,$7.50,Housemade Soups,Bowl. Creamy broccoli cheddar soup | jack + cheddar cheese | parsley (cal. 380).
Clam Chowder,$7.50,Housemade Soups,Bowl. Creamy clam chowder | fresh parsley | crackers (cal. 440).
Piranha Pale Ale Chili,$7.95,Housemade Soups,Bowl. Piranha® pale ale chili | jack + cheddar cheese | sour cream | green onion (cal. 560).
Chicken Tortilla,$7.50,Housemade Soups,Bowl. Chicken tortilla soup | jack + cheddar cheese | avocado | cilantro | tortilla strips (cal. 280).
Soup and Salad Combo,$9.95,Housemade Soups,"Bowl of housemade soup | house, Caesar, wedge or fresh mozzarella and tomato salad (cal. 360-970)."
"Build Your Own Pizza (6"")",$9.25,Build Your Own Pizza,4 slices. 140 calories per slice.
"Build Your Own Pizza (9"")",$11.50,Build Your Own Pizza,6 slices. 210 calories per slice.
"Build Your Own Pizza (12"")",$15.75,Build Your Own Pizza,8 slices. 270 calories per slice.
"Build Your Own Pizza (14"")",$18.25,Build Your Own Pizza,￼10 slices. 300 calories per slice.
"BJ's Favorite (Mini 6"")",$12.75,BJ's Deep Dish Pizza,4 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (180 calories per slice).
"Bj's Favorite (Small 9"")",$16.95,BJ's Deep Dish Pizza,6 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (250 calories per slice). 395.
