Rating,Number Of Ratings,Address
4.6/5,1074 ratings,"939 Broxton Avenue, Los Angeles, CA 90024, USA"
Fresh Atlantic Salmon,$20.75,Specialty Entrées,Flame-broiled or blackened salmon fillet | lemon chardonnay butter sauce | rice pilaf | steamed broccoli (cal. 840/870).
New Orleans Jambalaya,$19.95,Specialty Entrées,Blackened chicken breast | sautéed shrimp | chicken-andouille sausage | bell peppers | white onions | tomatoes | Cajun-spiced broth | rice pilaf (cal. 1140).
Parmesan-Crusted Chicken,$18.75,Specialty Entrées,Chicken breast | lemon chardonnay butter sauce | sun-dried tomatoes | fresh basil | parmesan cheese | white cheddar mashed potatoes | steamed broccoli (cal. 1140).
Peruvian Quinoa Bowl,$11.95,BJ's Enlightened Entrées,Gluten-free item. Peruvian quinoa + brown rice  | sautéed red onions | sliced mushrooms | sautéed spinach | seasoned tomatoes | a drizzle of extra virgin olive oil + lemon juice | choice of herb-roasted protein.
Turkey Burger,$12.25,BJ's Enlightened Entrées,All-white-meat patty | baby field greens | red wine vinaigrette | dried cranberries | tomatoes | chargrilled red onions | dijon mayonnaise | toasted parker house bun | mixed green salad (cal. 780).
Fire-Roasted Barbacoa Chicken,$15.25,BJ's Enlightened Entrées,Barbacoa-spiced chicken | brown rice | black beans | feta cheese | cilantro | Greek yogurt crema | fire-roasted tomato salsa (cal. 520).
Lemon Thyme Chicken,$15.95,BJ's Enlightened Entrées,Herb-roasted chicken breasts | big poppa smokers’ desert gold rub | brown rice | sautéed red onions | fire-roasted red peppers | tomatoes | roasted brussels sprouts | lemon thyme sauce (cal. 650).
Cherry Chipotle Glazed Salmon,$17.75,BJ's Enlightened Entrées,"￼oven-roasted Atlantic salmon | sweet, savory cherry chipotle glaze | roasted asparagus | fire-roasted red pepper, tomato + spinach couscous (cal. 580)."
Mediterranean Chicken Pita Tacos,$13.50,BJ's Enlightened Entrées,Seasoned grilled chicken | cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Kale and Roasted Brussels Sprouts Salad,$12.50,BJ's Enlightened Salads,Gluten-free item. Baby kale | herb-roasted brussels sprouts | romaine | fresh blueberries | sweet red grapes | dried cranberries | goat cheese | cucumbers | candied pecans | toasted pepitas | red onions | strawberry vinaigrette (cal. 440).
Asian Chopped Salad,$13.95,BJ's Enlightened Salads,Grilled chicken | baby field greens | napa cabbage | romaine | red bell peppers | snap peas | green onions | shredded carrots | sesame seeds | crisp wonton strips | cilantro | mandarin oranges | honey ginger dressing (cal. 540).
Seared Ahi Salad,$17.75,BJ's Enlightened Salads,Sashimi grade ahi | baby field greens | napa cabbage | romaine | red bell peppers | tomatoes | avocado | pickled cucumber | cilantro | spicy wasabi | wonton strips | red + green onions | rice wine vinaigrette (cal. 580).
Santa Fe Salad,$15.75,BJ's Garden Fresh Entrée Salads,Crisp romaine | blackened chicken breast | red onions | fire-roasted red peppers | jack + cheddar cheese | avocado | sweet corn | tomatoes | crisp corn tortilla strips | santa fe dressing (cal. 980).
Derby-Style Chicken Cobb,$15.50,BJ's Garden Fresh Entrée Salads,Crisp romaine | herb-grilled chicken breast | hard-boiled egg | applewood smoked bacon | avocado | jack + cheddar cheese | cucumbers | tomatoes | bleu cheese crumbles | housemade avocado ranch dressing (cal. 1060).
Honey-Crisp Chicken Salad,$15.75,BJ's Garden Fresh Entrée Salads,Crisp romaine | iceberg lettuce | lightly fried chicken tenders | toasted almonds | cucumber | hard-boiled egg | sweet corn | tomatoes | honey mustard dressing (cal. 1370).
Barbeque Chicken Chopped Salad,$15.75,BJ's Garden Fresh Entrée Salads,Crisp romaine | iceberg lettuce | sweet corn | black beans | crunchy jicama | mozzarella | tomatoes | green onions | cilantro | BBQ ranch dressing | crispy onion strings (cal. 930).
Caesar Salad,$12.75,BJ's Garden Fresh Entrée Salads,Crisp romaine | oven-baked croutons | parmesan cheese | creamy Caesar dressing (cal. 810).
Enlightened Kale and Roasted Brussels Sprouts Salad,$12.50,BJ's Garden Fresh Entrée Salads,Gluten-free item. Baby kale | herb-roasted brussels sprouts | romaine | fresh blueberries | sweet red grapes | dried cranberries | goat cheese | cucumbers | candied pecans | toasted pepitas | red onions | strawberry vinaigrette (cal. 440).
Enlightened Asian Chopped Salad,$13.95,BJ's Garden Fresh Entrée Salads,Grilled chicken | baby field greens | napa cabbage | romaine | red bell peppers | snap peas | green onions | shredded carrots | sesame seeds | crisp wonton strips | cilantro | mandarin oranges | honey ginger dressing (cal. 540).
