date,addressing postcards,princess ann hotel,carfax by vin,minecraft kitchen mod,bollywood bistro,bonchon nyc,beauregards,mobile waiters,oly fed,kansas city airport address,d tronics,cancer traits male,out of the kitchen,hecho sf,naples grande beach,naples grande beach resort,citi card government,lonestar motors,hula mamas
2009-07-01,-0.683,1.132,-0.675,-0.632,-0.714,-0.831,0.055,0.061,0.391,0.235,0.497,-0.539,0.139,-0.62,1.348,1.336,1.429,0.918,-0.589
2009-08-01,3.649,0.224,-0.675,-0.632,0.19,-0.489,-0.384,0.225,-1.023,0.544,-0.133,-0.539,4.094,-0.62,0.681,0.659,-0.751,0.112,-0.589
2009-09-01,2.198,0.258,-0.675,-0.632,-0.018,-0.831,-0.569,0.447,0.142,0.183,-0.1,-0.539,0.706,-0.62,0.106,0.097,-0.751,-0.049,-0.589
2009-10-01,-0.683,0.385,-0.675,-0.632,0.03,-0.831,-0.095,0.559,0.137,0.007,0.039,-0.539,1.332,-0.62,0.32,0.3,-0.751,0,-0.589
2009-11-01,-0.683,0.407,-0.675,-0.632,-0.007,-0.16,0.381,0.658,-1.023,-0.227,0.573,-0.539,1.006,-0.62,0.292,0.273,-0.751,0.524,-0.589
2009-12-01,-0.683,0.191,-0.675,-0.632,-0.095,-0.26,-0.29,1.221,-1.023,-0.31,0.918,-0.539,1.066,-0.62,0.461,0.462,-0.751,1.119,-0.589
2010-01-01,-0.683,2.103,-0.675,-0.632,-0.033,-0.047,-0.423,1.453,0.337,-0.303,0.695,-0.539,1.171,-0.62,1.695,1.653,-0.751,0.808,-0.589
2010-02-01,-0.683,1.776,-0.675,-0.632,0.234,0.575,-0.314,1.886,0.506,-0.436,1.2,-0.539,0.956,-0.62,1.602,1.605,-0.751,0.737,-0.589
2010-03-01,-0.683,1.274,-0.675,-0.632,0.015,0.74,-0.19,2.298,0.167,-0.582,0.357,-0.539,1.634,-0.62,1.06,1.081,-0.751,0.948,-0.589
2010-04-01,-0.683,0.194,-0.675,-0.632,0.013,0.281,-0.391,2.295,0.89,-0.433,0.872,-0.539,1.451,-0.62,0.996,0.971,-0.751,0.431,-0.589
2010-05-01,-0.683,0.074,-0.675,-0.632,0.781,0.273,-0.274,2.242,0.367,0.014,0.405,-0.539,1.625,-0.62,1.316,1.279,-0.751,1.691,-0.589
2010-06-01,-0.683,-0.331,-0.675,-0.632,0.394,0.152,-0.294,2.824,0.522,0.005,0.037,-0.539,1.552,-0.62,1.885,1.903,-0.751,1.243,1.255
2010-07-01,-0.683,0.536,-0.675,-0.632,1.146,0.367,-0.034,3.585,0.905,-0.096,0.901,-0.539,0.79,-0.62,1.641,1.663,-0.751,1.253,1.311
2010-08-01,-0.683,0.009,-0.675,-0.632,0.934,0.705,0.184,3.379,0.458,-0.232,0.39,-0.539,0.577,-0.62,1.135,1.155,-0.751,1.669,1.286
2010-09-01,-0.683,-0.823,-0.675,-0.632,1.003,0.426,0.56,2.265,0.165,-0.273,0.048,-0.539,0.388,-0.62,0.427,0.435,0.887,0.707,-0.589
2010-10-01,1.733,-0.82,-0.675,-0.632,1.081,1.319,-0.271,2.652,0.166,0.026,-0.385,-0.539,0.44,-0.62,0.56,0.559,1.207,0.808,-0.589
2010-11-01,-0.683,-0.677,-0.675,-0.632,0.95,0.959,-0.616,1.624,0.276,-0.514,-0.072,-0.539,0.362,-0.62,0.677,0.69,-0.751,0.864,1.863
2010-12-01,1.61,-0.658,-0.675,-0.632,1.102,0.159,-0.351,1.777,-0.054,-0.782,0.143,-0.539,0.46,-0.62,0.503,0.495,-0.751,0.503,2.698
2011-01-01,1.542,-0.091,-0.675,-0.632,1.615,0.225,-0.597,2.142,0.41,-0.515,0.102,-0.539,0.29,-0.62,1.811,1.841,-0.751,0.932,1.592
2011-02-01,-0.683,0.8,-0.675,-0.632,1.749,0.127,-0.357,2.258,0.035,-0.748,0.462,-0.539,0.333,-0.62,1.96,1.929,-0.751,1.886,1.277
2011-03-01,1.135,0.835,-0.675,-0.632,1.364,-0.126,-0.357,1.49,0.191,-0.516,-0.062,-0.539,0.77,-0.116,1.742,1.759,0.836,1.66,0.969
2011-04-01,-0.683,0.123,-0.675,-0.632,1.854,-0.005,-0.419,1.353,0.57,-0.503,0.323,-0.539,0.597,3.809,1.248,1.258,-0.751,1.476,1.999
2011-05-01,0.996,0.133,-0.675,-0.632,1.319,-0.191,-0.401,1.44,0.916,-0.314,0.653,-0.539,0.573,2.812,1.414,1.409,-0.751,0.805,2.742
2011-06-01,2.127,0.135,-0.675,-0.632,0.943,-0.094,0.086,1.159,0.28,-0.312,0.91,-0.539,1.309,1.671,2.213,2.195,1.56,1.364,2.296
2011-07-01,1.575,-0.046,-0.675,-0.632,1.219,0.147,0.146,1.304,0.868,-0.35,1.042,-0.539,1.336,2.11,2.032,2.038,1.099,1.27,0.955
2011-08-01,1.652,-0.054,-0.675,-0.632,1.221,-0.09,0.312,0.93,0.469,-0.073,1.554,0.382,0.927,2.799,1.599,1.629,0.329,1.377,4.586
2011-09-01,1.194,-0.552,-0.675,-0.632,1.104,0.088,0.766,0.495,0.525,-0.12,0.992,0.471,0.879,1.019,0.896,0.903,0.541,0.951,2.581
2011-10-01,0.878,-0.397,-0.675,1.796,1.144,-0.028,0.658,1.02,0.44,-0.01,0.666,1.067,0.776,0.233,0.599,0.576,-0.751,1.34,1.448
2011-11-01,-0.683,-0.586,2.336,1.055,1.148,-0.075,1.902,0.747,0.672,-0.062,1.853,1.199,1.039,0.164,0.461,0.439,0.319,0.639,0.851
2011-12-01,1.804,-0.538,1.243,1.298,1.455,0.141,0.34,0.818,0.848,-0.611,1.168,2.25,0.59,0.583,0.781,0.77,0.735,0.644,0.5
2012-01-01,0.776,-0.135,3.08,0.786,1.721,2.245,0.884,0.6,1.029,-0.44,1.709,2.449,0.591,0.999,1.197,1.192,0.886,0.972,1.09
2012-02-01,1.486,-0.243,1.63,1.801,1.613,3.476,0.484,0.67,0.996,-0.054,0.68,2.597,0.25,1.557,0.432,0.442,1.793,2.039,2.113
2012-03-01,0.588,-0.559,1.205,0.966,1.428,3.02,-0.312,0.671,1.16,-0.047,0.238,3.115,-0.371,0.627,0.172,0.189,1.299,0.924,0.914
2012-04-01,1.14,-0.656,1.681,1.506,1.498,1.031,-0.009,0.308,1.11,-0.126,0.31,3.286,0.494,0.994,-0.047,-0.04,1.163,0.951,1.134
2012-05-01,1.383,-0.808,1.498,1.205,1.165,0.315,-0.661,0.345,0.85,-0.111,-0.087,1.759,0.156,0.455,-0.198,-0.195,1.179,0.993,1.139
2012-06-01,0.834,-0.698,1.229,1.902,1.554,0.323,-1.131,0.668,0.951,-0.111,0.034,1.115,-0.653,0.464,-0.25,-0.25,0.904,0.273,0.637
2012-07-01,1.013,-0.721,0.794,1.08,1.24,0.031,0.131,0.036,0.577,-0.295,0.056,-0.539,-0.592,-0.05,-0.35,-0.334,0.736,0.353,0.118
2012-08-01,1.089,-0.899,0.62,0.905,1.093,0.057,-0.147,0.048,0.83,-0.379,0.107,-0.539,-1.021,0.16,-0.584,-0.572,0.827,-0.198,-0.589
